Index,Name,City,State,Phone Number
957,Ber Borochov,Scottsdale, Arizona,282 -- 391-5
958,Berek Joselewicz,Cincinnati, Ohio,7 * -960487 - 01 - 1.4
959,Bernard Bailyn,Arlington, Texas,7 * -857287 - 01 - 1.4
960,Bernard Berenson,Buffalo, New York,559- 491-902178
961,Bernard Butler ,Aurora, Colorado,74- 7- 9- 6- 7- 0-9844 * 78
962,Bernard Edwards ,Toledo, Ohio,7 - 868- 90- 7- -9439
963,Bernard Gimbel,Greensboro, North Carolina,06- 220-2936
964,Bernard Gorcey,Santa Ana, California,480- 4  1-- 7- -2  1-- 7- 
965,Bernard Gordon,Chula Vista, California,5- 7-   1-- 284-- 7- 0
966,Bernard Herrmann,Boise, Idaho,636- 239-4253
967,Bernard Katz,Anchorage municipality, Alaska,53- 7-  -- 645-6882
968,Bernard Lagat,Plano, Texas,836- 85- 7- -921178
969,Bernard Langer ,Reno, Nevada,7490- 5- 7- 1-9156 * 78
970,Bernard Lewis,Norfolk, Virginia,7 - 236- 5- 7- 0-2568
971,Bernard Lown,San Bernardino, California,94 -- 941-8988
972,Bernard M. Baruch,Albuquerque, New Mexico,245 -- 810-981
973,Bernard Malamud,Charlotte, North Carolina,7 * -654287 - 01 - 1.4
974,Bernard Morin,Buffalo, New York,298- 309-514- 7- 
975,Bernard Odum ,Virginia Beach, Virginia,826- 501-4801
976,Bernard Purdie ,Portland, Oregon,456- 3- 7- 0-616978
977,Bernard Sumner ,Fort Wayne, Indiana,7514- 491-822- 7-  * 78
978,Bernard-Henri Levy,Bakersfield, California,7 - 953- 438-3- 7- 19
979,Bernardo Bertolucci,Detroit, Michigan,94- 386-  1 - 692
980,Bernd Schneider,San Francisco, California,-118(787)01 - 1
981,Bernhard Horwitz,Stockton, California,7 * -643287 - 01 - 1.4
982,Bernie Calvert ,Orlando, Florida,536- 691-2969
983,Bernie Ecclestone,Phoenix, Arizona,363 -- 562-3020
984,Bernie Fine,Bakersfield, California,7 * -424487 - 01 - 1.4
985,Bernie Kopell,Hialeah, Florida,7288- 242-- 7- 261 * 78
986,Bernie Mac ,Albuquerque, New Mexico,7 - 230- - 7- 15-1994
987,Bernie Marcus,Phoenix, Arizona,12- *403-- 7- 959
988,Bernie Sanders,Honolulu, Hawaii,995- 265-322
989,Bernie Worrell ,Miami, Florida,265- 3- 7- 9-6
990,Berry Oakley ,Mesa, Arizona,921- 905-8895
991,Bert & Ernie,North Las Vegas, Nevada,25- 7-  -- 830-8120
992,Bert Berns,Detroit, Michigan,586- 444-482178
993,Bert Jansch ,Cleveland, Ohio,7588 -- 4- 7- 2-2859 * 78
994,Bert Lahr,Louisville/Jefferson, Kentucky,7 - 98- 7- - 943-  1-289
995,Bertha Jorkins,Buffalo, New York,-637(787)01 - 1
996,Bertie Bott,Austin, Texas,446- - 7- 09-134
997,Bertold Goldschmidt,Reno, Nevada,436- 820-5- 7- 
998,Bertram Turetzky,Nashville-Davidson, Tennessee,635- 606-9- 7- 01
999,Diego Milito,Santa Ana, California,628 -- 250-483- 7- 
1000,Bertrand Tavernier,Denver, Colorado,985- 428-356378
1001,Bess Myerson,Jersey , New Jersey,7201 -- 833*-2625 * 78
1002,Bessie Coleman,Buffalo, New York,7 - 855- 99  1--3*409
1003,Beth Phoenix,Austin, Texas,93 -- 85- 7- -3430
1004,Bette Davis,Tampa, Florida,90- 7- - 850-565
1005,Bette Greene,Chandler, Arizona,6- 7- 1 -- 919-1
1006,Bette Midler,Honolulu, Hawaii,33*6 -- 9- 7- 4-0304
1007,Betty Boop ,Hialeah, Florida,*401- - 7- 42-6953
1008,Betty Comden,Birmingham, Alabama,33*9 -- 280-9- 7- 0878
1009,Betty Cooper,Bakersfield, California,7204 -- 593-8029 * 78
1010,Betty Friedan,Stockton, California,7 - 814- 996-0324
1011,Beverly Breckenridge ,Louisville/Jefferson, Kentucky,04 --512-2535
1012,Beverly Sills,Aurora, Colorado,212- 38- 7- -46.6
1013,Beyonce Knowles,Irving, Texas,2- 7-  - 7-    610-9
1014,Bezalel Ashkenazi,Raleigh, North Carolina,845 -- 2- 7- 0-1238
1015,Bhaichung Bhutia ,Houston, Texas,514 -- 639-3648
1016,Bib Fortuna,Chesapeake, Virginia,469 --589-- 7- 01- 7- 78
1017,Bibbe Hansen,Lexington-Fayette, Kentucky,721- 7-  -- - 7- - 7- 8-2- 7- 08 * 78
1018,Big Bad Wolf,Lexington-Fayette, Kentucky,7 - 3- 7- 9 -- 3- 7- - 7- -- 7- 212
1019,'Big' Jim Sullivan ,Stockton, California,- 7- - 7- 8- 28- 7- -4  1-20
1022,Big Show,Orlando, Florida,290- 6.69-960- 7- 
1023,Big Tom ,Atlanta, Georgia,892- 802-1925
1024,Biggie Smalls,Birmingham, Alabama,910- *404-528578
1025,Biggs Darklighter,Seattle, Washington,7816 -- 828-1811 * 78
1026,Bilbo Baggins,Anaheim, California,7 - 98- 7- - 346-5818
1029,Bill Bernbach,Pittsburgh, Pennsylvania,625- 836-8
1030,Bill Black ,San Francisco, California,811- 698-33*- 7- 3
1031,Bill Bright,Fort Worth, Texas,364- 4- 7- 3-1299
1032,Bill Bruford,Buffalo, New York,4- 7- 4 -- - 7- 10-488578
1033,Bill Champlin ,Greensboro, North Carolina,7930- 358-3420 * 78
1034,Bill Church ,Denver, Colorado,7 - 839 -- 391-2- 7- 18
1035,Bill Clinton,New York City, New York,55 -- 886-5319
1036,Bill Cosby,Denver, Colorado,559- 9- 7- 1-442
1037,Bill Dana,Colorado Springs, Colorado,5- 7- 5- 3- 7- 0-349  
1038,Bill Finger,Boston, Massachusetts,908- 3*40-0960
1039,Bill Frisell ,Tulsa, Oklahoma,-6.68(787)01 - 1
1040,Bill Gaither  ,Jacksonville, Florida,846- 323--22  1-578
1041,Bill Gates,San Diego, California,733*0- 414-9896 * 78
1042,Bill Goldberg,Santa Ana, California,7 - 469- 410-- 7- 2- 7- 1
1043,Bill Graham,Las Vegas, Nevada,32- 209-2482
1044,Bill Hicks,St. Paul, Minnesota,4- 7- 5- 445-009
1045,Bill Hybels,Gilbert town, Arizona,653- 952-0- 7- 
1046,Bill Johnson ,Austin, Texas,965- 33*- 7- -8412
1047,Bill Kelliher ,Durham, North Carolina,2  1-9- 98- 7-  - 6  1-09
1048,Bill Kirchen ,Las Vegas, Nevada,924- 905-381278
1049,Bill Kristol,Fremont, California,7426 -- 893-- 7- 265 * 78
1050,Bill Laswell,Glendale, Arizona,7 - 903 -- 568-2131
1051,Bill Leen ,Long Beach, California,- 7-  - 7-    506-945- 7- 
1052,Bill Lordan,Oakland, California,854- 305-655
1053,Bill Lumbergh,Lexington-Fayette, Kentucky,825- 412-9
1054,Bill Lustig,Honolulu, Hawaii,850 --524-0985
1055,Bill MacCormick ,Anaheim, California,431- 896-9264
1056,Bill Macy,Hialeah, Florida,55  1-- 568-56- 7- 378
1057,Bill Maher,Buffalo, New York,7915- 950-6145 * 78
1058,Bill McCartney,Fresno, California,7 - 358- 3  1-0-343  1-
1059,Bill Medley ,Wichita, Kansas,- 7- 63 -- 21- 7- -48- 7- - 7- 
1060,Bill Murray,Charlotte, North Carolina,699- 882-934
1061,Bill Nye,Stockton, California,532- 659-5
1062,Bill Payne ,Long Beach, California,810- 451-- 7- *409
1063,Bill Ray ,Irving, Texas,4- 7- 0- - 7-   1 - 6-- 7- - 7- 23-
1064,Bill Richardson,Plano, Texas,442- *405-119978
1065,Bill Rosenberg,Portland, Oregon,7933*- 249-9085 * 78
1066,Bill Rotella,Hialeah, Florida,7 - 49- 7-  -- 682-5682
1067,Bill Russell ,Milwaukee, Wisconsin,58- 265-6823
1068,Bill Spooner ,Minneapolis, Minnesota,-6.67(787)01 - 1
1069,Bill Stern,Seattle, Washington,216- 568-2
1070,Bill Vockeroth,Tulsa, Oklahoma,9  1-5- - 7- 38-- 7- 462
1071,Bill Weasly,Indianapolis, Indiana,548- 4- 7- - 7- -8- 7- 60
1072,Bill Wyman ,Denver, Colorado,6- 7- 3- 443-- 7- 18278
1073,Billie Holiday,Glendale, Arizona,79- 7- - 7- - - 7- 99-3422 * 78
1074,Billie Joe Armstrong,Albuquerque, New Mexico,7 - 830- 9- 7- 4-1- 7- 42
1075,Billie Joel,Minneapolis, Minnesota,7 * -393287 - 01 - 1.4
1076,Billy Ashbaugh,Reno, Nevada,5  1-9- 393 - 625  1-
1077,Billy Barty Jusine Bateman ,Gilbert town, Arizona,459 -- 992-*4
1078,Billy Bass Nelson ,Riverside, California,994- 252-2096
1079,Billy Batson,Philadelphia, Pennsylvania,494 -- 92- 7- -8439
1080,Billy Blanks,Phoenix, Arizona,518 -- 255-16- 7- 878
1081,Billy Cobham,Boston, Massachusetts,7206 -- 899-0135 * 78
1082,Billy Corgan ,Chandler, Arizona,7 * -713087 - 01 - 1.4
1083,Billy Cox ,Memphis, Tennessee,24- 936-2059
1084,Billy Crystal,Denver, Colorado,90- 7- - 290- -651
1085,Billy Drummond,Miami, Florida,7 * -131587 - 01 - 1.4
1086,Billy Duffy ,Fremont, California,7 * -911787 - 01 - 1.4
1087,Billy Eisenberg,Milwaukee, Wisconsin,*408- 91 - 7-   2901
1088,Billy Gibbons ,Oakland, California,9  1-- 7- - - 7-   1-4-999078
1089,Billy Gould ,Columbus, Ohio,7552 -- - 7- 65-3902 * 78
1090,Billy Graham,Detroit, Michigan,7 - 802 -- 996-2953
1091,Billy Greer ,Washington, DC,*400(787)01 - 1
1092,Billy Halop,Seattle, Washington,58- 7- - - 7- 34-698
1093,Billy Hawn,Arlington, Texas,394- 6- 7-  - 7-   8
1094,Billy Howerdel ,St. Louis, Missouri,9- 7- 5- 33*1-4341
1095,Billy Idol,Houston, Texas,385- 355-9156
1096,Billy Joel,Philadelphia, Pennsylvania,35 - 7-    348-169- 7- 78
1097,Billy Kilson,St. Petersburg, Florida,7286 -- - 7- 30-8168 * 78
1098,Billy Mohler,Cleveland, Ohio,7 * -223287 - 01 - 1.4
1099,Billy Powell ,Irving, Texas,02- 816-4220
1100,Billy Preston,St. Petersburg, Florida,538- 923-644
1101,Billy Ray Sirus,San Francisco, California,7 * -631487 - 01 - 1.4
1102,Billy Sheehan ,Cleveland, Ohio,425- - 7- 59-450  1-
1103,Billy Squier ,Irving, Texas,551- 39- 7- -9121
1104,Billy Steinberg,Albuquerque, New Mexico,320- 2- 7- 0-096478
1105,Billy Sunday,Nashville-Davidson, Tennessee,7362 -- 396-426- 7-  * 78
1106,Billy Walker ,Anaheim, California,7 - 219- - 7- 08-6308
1107,Billy Ward,Madison, Wisconsin,00- 33*6-- 7- 235
1108,Billy Wilder,Los Angeles, California,361 -- 36- 7- -193
1109,Binyamin Ze'ev Kahane,Raleigh, North Carolina,43- 7- - 223-124- 
1110,Birtha Jorkins,San Bernardino, California,4- 7- 8- 8  1-8-3580
1111,Björn Gelotte ,Norfolk, Virginia,7 * -145587 - 01 - 1.4
1112,Björn Strid ,Baton Rouge, Louisiana,848 -- - 7- - 7- 3-233*978
1113,Björn Ulvaeus,Glendale, Arizona,7 * 881287 - 01 - 1.4
1114,Black Canary,New York City, New York,7 - 990 -- - 7- 99-3221
1115,Black Eyed Peas,Chesapeake, Virginia,64- 5- 7- 3-8415
1116,Black Francis ,Tampa, Florida,2  1-3- 432-925- 7- 
1117,Black Panther,Durham, North Carolina,620- 26- 7- -6
1118,Black Pete,Kansas , Missouri,7 * -101487 - 01 - 1.4
1119,Black Shadow ,Phoenix, Arizona,958- 3- 7- 8-9936
1120,Black Widow,Baltimore, Maryland,482- 883-538478
1121,Blackie Lawless ,Dallas, Texas,74- 7- 3- 641-20- 7- 8 * 78
1122,Blair Thornton,Minneapolis, Minnesota,7 - 65- 7- - 33*4-4  1-- 7-   1-
1123,Blaise Zabini,Lexington-Fayette, Kentucky,29- 223-3848
1124,Blanche Knopf,Austin, Texas,324- 591-653- 7- 
1125,Blas Elias,Corpus Christi, Texas,965- 994-3
1127,Blind Lemon Jefferson,Lincoln, Nebraska,-384(787)01 - 1
1128,Blind Willie McTell,Norfolk, Virginia,3  1-0- 639-4  1-5878
1130,Bloody Barron,Newark, New Jersey,7 - 820- 252-4629
1131,Blue October,St. Petersburg, Florida,48 -- 56.6-6261
1132,Bo Belinsky,Chicago, Illinois,652 --549-026
1133,Bo Diddley,Albuquerque, New Mexico,216- 259-- 7- 
1135,Boaz Keysar,Tampa, Florida,6- 7- 2 --536-- 7- 825
1136,Boaz Yakin,Winston-Salem, North Carolina,559- 598-461278
1137,Bob Arum,Philadelphia, Pennsylvania,79- 7- 0- 432-2818 * 78
1138,Bob Babbitt,Greensboro, North Carolina,7 - 529- 262-3228
1139,Bob Balaban,San Bernardino, California,36- 645-491- 7- 
1140,Bob Barker,Wichita, Kansas,54 - 7-    485-422
1141,Bob Bennett ,Baltimore, Maryland,*409 -- - 7- 0- 7- -2
1142,Bob Berg,Louisville/Jefferson, Kentucky,928- 228-03- 7- 9
1143,Bob Birch ,Louisville/Jefferson, Kentucky,-864(787)01 - 1
1144,Bob Brozman,San Diego, California,7 * -192287 - 01 - 1.4
1145,Bob Carlisle ,Lincoln, Nebraska,7 * -578387 - 01 - 1.4
1146,Bob Casale,Bakersfield, California,7 - 893- 2*40-3- 7- 24
1147,Bob Daisley ,Tucson, Arizona,7 * -837887 - 01 - 1.4
1148,Bob Denver,Lexington-Fayette, Kentucky,883- 425-809
1149,Bob Dishy,Winston-Salem, North Carolina,990- 929-5
1150,Bob Dole,Detroit, Michigan,511- 2- 7- 4-533*1
1151,Bob Dylan,Chicago, Illinois,633*- 4  1-9-8  1-09
1152,Bob Fairfoull ,Kansas , Missouri,252- 628-223-  1-78
1153,Bob Filner,Chesapeake, Virginia,7 * -951387 - 01 - 1.4
1154,Bob Fitzsimmons,Reno, Nevada,7 - 21 - 7-    368-8448
1155,Bob Frankston,Buffalo, New York,.68- 8- 7- 0-3692
1156,Bob Hope,Denver, Colorado,354- - 7- 9- 7- -685
1157,Bob Kahn,Charlotte, North Carolina,3- 7- 5- 231-5
1158,Bob Kane,Mesa, Arizona,238- 569-2980
1159,Bob Kaufman,New Orleans, Louisiana,650 --56.6-9- 7- 19
1160,Bob Knarley ,Irving, Texas,36.6 -- 2- 7- 9-1- 7- 5478
1161,Bob Kraft,Long Beach, California,788  1-- 5  1-0-396  1- * 78
1162,Bob Larson  ,Philadelphia, Pennsylvania,7 - 589 -- 564-3008
1163,Bob Lewis ,Jacksonville, Florida,00- 250-50- 7- 3
1164,Bob Marley,Jacksonville, Florida,-679(787)01 - 1
1165,Bob Mayo,Kansas , Missouri,251- 306-6
1166,Bob Merrill,Tampa, Florida,7 * -637987 - 01 - 1.4
1167,Bob Mothersbaugh ,Baltimore, Maryland,489 -- - 7- 2- 7- -1146
1168,Bob Nastanovich,Charlotte, North Carolina,826- 551-546578
1169,Bob Newhart,Memphis, Tennessee,7492- 94- 7- -8380 * 78
1170,Bob Ogden,Houston, Texas,7 - 56  1-- 295-33*83
1171,Bob Saget,Lubbock, Texas,34- 845 - 6060
1172,Bob Seger,Cleveland, Ohio,5- 7- 9- 845-8- 7- 8
1173,Bob Siebenberg,Baton Rouge, Louisiana,965- 36.6-33*
1174,Bob Sinclair,San Antonio, Texas,655 -- 639-0434
1175,Bob Stinson ,Fort Wayne, Indiana,86.6 -- 824-0819
1176,Bob Tisch,Kansas , Missouri,899- - 7- 90-268578
1177,Bob Weinstein,Phoenix, Arizona,72- 7- 1- 594-9522 * 78
1178,Bob Welch ,Nashville-Davidson, Tennessee,7 - 469- 890-496.6
1179,Bob Weston ,Washington, DC,01- 252-1016
1180,Bob Woodward,Albuquerque, New Mexico,955 -- 20- 7- -281
1181,Bob Wootton ,St. Petersburg, Florida,391 -- 4- 7- 6-- 7- 
1182,Boba Fett,Winston-Salem, North Carolina,430- 300 - 6454
1183,Bobby Borg,Denver, Colorado,8- 7- 2- - 7- 59-6*406
1184,Bobby Brown,Los Angeles, California,658- 611-2- 7- 3278
1185,Bobby Chouinard,Chesapeake, Virginia,79- 7- 3- 804-9581 * 78
1186,Bobby Colomby ,St. Louis, Missouri,7 - 62  1-- 25- 7- -26.69
1187,Bobby Czyz,Glendale, Arizona,25- 8- 7- 5-1620
1188,Bobby Dall ,Toledo, Ohio,242- 425-- 7- 39
1189,Bobby Elliott,Anaheim, California,594- 69- 7- -38- 7-
1190,Bobby Fischer,Plano, Texas,690- 458-49- 7- 2
1191,Bobby Fuller ,Wichita, Kansas,855- - 7- 80-2004
1192,Bobby Jarzombek,Gilbert town, Arizona,814- 615-- 7- 36278
1193,Bobby Moore ,Buffalo, New York,7311 -- 541-0803 * 78
1194,Bobby Previte,Long Beach, California,7 - 495- 365-3941
1195,Bobby Rock,Memphis, Tennessee,- 7- 3- 495-2896
1196,Bobby Seale,Los Angeles, California,6*40- - 7- 94-216
1197,Bobby Slayton,Irvine, California,443- 8- 7- 1-0
1198,Bobby Whitlock ,San Jose, California,410- 642-6509
1199,Bobby Womack,Irvine, California,7 * -606587 - 01 - 1.4
1200,Bobzilla ,New Orleans, Louisiana,56  1-- 628-535678
1201,"Boe, Eric A.",Laredo, Texas,793- 7-  -- 595-9609 * 78
1202,Bojan Pečar ,Honolulu, Hawaii,7 - 256 -- 461-16- 7- 0
1203,Bone Thugs N Harmony,Kansas , Missouri,12- 258-2341
1204,Bones Hillman,Gilbert town, Arizona,309- - 7- 65-546
1205,Bonnie and Clyde,Jersey , New Jersey,- 7- 91- 393-- 7- 52- 
1206,Bonnie Franklin,Kansas , Missouri,542- 960-1003
1207,Bono Vox,Tulsa, Oklahoma,329- - 7- 6- 7- -5349
1208,Boo Boo ,Miami, Florida,548- - 7- 38-008678
1209,Booker T. Jones,San Diego, California,7318- 421-60- 7- 0 * 78
1210,Booker T. Washington,Norfolk, Virginia,7 - 586- - 7- 51-6198
1211,Bootsy Collins ,Las Vegas, Nevada,00- 252-8296
1214,Boris Alterman,Columbus, Ohio,-800(787)01 - 1
1215,Boris Badenov ,Atlanta, Georgia,9- 7-   1-- 54  1--5- 7- 53
1216,Boris Becker,Pittsburgh, Pennsylvania,430 -- - 7- 43-431078
1217,Boris Berezovsky,Seattle, Washington,7216- *402-0816 * 78
1218,Boris Gulko,Arlington, Texas,7 - 93- 7- - 48- 7- -5120
1219,Boris Karloff,Buffalo, New York,94- - 7- 63-2002
1220,Boris Pasternak,Fremont, California,489- 48 - 7-   229
1221,Boris Sagal,Phoenix, Arizona,904- 418-6
1222,Boris Spassky,Anaheim, California,322- 832-2534
1223,Boris Strugatsky,St. Petersburg, Florida,96- 7- - 290-9611
1224,Boris Thomashevsky,Hialeah, Florida,565- 958-191578
1226,Boss Nass,Houston, Texas,7 * -994987 - 01 - 1.4
1229,"Bowen, Stephen G.",Seattle, Washington,94- 7-  -- 564-9
1230,Boyd Martin,Minneapolis, Minnesota,8- 7- 8- 200-4361
1231,Boz Burrell ,Charlotte, North Carolina,495 -- 55- 7- -- 7- 06- 7- 
1232,Boz Scaggs,Portland, Oregon,513- 299-841278
1234,Brad Ausmus,New Orleans, Louisiana,7 - 462- - 7- 93-8204
1235,Brad Delson ,St. Paul, Minnesota,30 -- 641-8- 7- - 7- 0
1236,Brad Dutz ,Newark, New Jersey,893- 620-589
1237,Brad Garrett,Boston, Massachusetts,363 -- 648-4
1238,Brad Gilbert,San Bernardino, California,- 7- 96 -- 630-0- 7- 2- 7- 
1239,Brad Houser ,Anaheim, California,7 * -887787 - 01 - 1.4
1240,Brad Paisley,St. Louis, Missouri,553 -- 344-2- 7- 4878
1241,Brad Pitt,Fremont, California,723-8- 420-24- 7- - 7-  * 78
1242,Brad Sherman,Durham, North Carolina,7 - 354 -- 233*-9- 7- 23
1243,Brad Whitford,Wichita, Kansas,- 7- 5- - 7- 55-56.68
1244,Brad Wilk,Toledo, Ohio,830- 443-249
1245,Bradley Fish ,Detroit, Michigan,254- 236-2
1246,Bradley Nowell,Las Vegas, Nevada,25  1-- 39  1--2960
1247,Bradley Webb,Arlington, Texas,821 -- 605-65- 7- 8
1248,Bram Cohen,North Las Vegas, Nevada,*40 - 7-    490-308078
1249,Brandon Routh,Fort Wayne, Indiana,72- 7- 9- 33*2-6123 * 78
1250,Branko Lustig,Mesa, Arizona,7 - 6- 7- 1- 469-2193
1251,Breaking Point,Omaha, Nebraska,59- 96  1--24  1-0
1252,Brenda K. Starr,Lexington-Fayette, Kentucky,260- 5- 7- 2-9- 7- 4
1253,Brenda Song,Lexington-Fayette, Kentucky,500- 851-3
1254,Brendan Bayliss ,Denver, Colorado,390 --514-91- 7- 8
1255,Brendan Benson ,Toledo, Ohio,448- 632-09- 7- 4
1256,Brendan Fraser,Hialeah, Florida,282- 28- 7- -529978
1257,Brendan O' Carroll,Fort Worth, Texas,7*403- 20- 7- -6358 * 78
1258,Brennan Manning,New York City, New York,7 - 824- 688-8153
1259,Brent Hinds,Chandler, Arizona,81- - 7- 6- 7- -- 7- 592
1260,Brent Mason ,Corpus Christi, Texas,411 -- 650-2- 7- 6.
1261,Brent Spiner,Cleveland, Ohio,504 -- 648-2
1262,Brett Butler  ,Wichita, Kansas,64- 7- - 895-0  1-  1-0
1263,Brett Clark,Anaheim, California,232- 9- 7- 8-6931
1264,Brett Farve,Las Vegas, Nevada,500- 969-264278
1265,Brett Gurewitz ,New Orleans, Louisiana,7814- - 7- - 7- 9-6232 * 78
1266,Brett Lee ,Garland, Texas,7 - 416- 21 - 7-   - 7- 829
1267,Brett Ratner,Madison, Wisconsin,-10048* 78 - 7
1268,Brett Rogers,Orlando, Florida,653 -- *402-898
1270,Brian Asawa,Chicago, Illinois,215- 243-8413
1271,Brian Baker,Omaha, Nebraska,434- 30- 7- -8564
1272,Brian Bell,Sacramento, California,464- 499-388178
1273,Brian Brater,Indianapolis, Indiana,7812 -- 850-3680 * 78
1274,Brian Bromberg,Washington, DC,7 - 952- 9- 7- 5-8- 7- 03
1275,Brian Cashman,Birmingham, Alabama,*40- 7- - - 7- 49-380- 7- 
1276,Brian Chase ,Chula Vista, California,39- 7-  -- 3- 7- 2-- 7- 09
1277,Brian David Josephson,San Bernardino, California,538- 955-9
1278,Brian de Palma,Gilbert town, Arizona,2- 7- 3- 488-9396
1279,Brian Downey,Chandler, Arizona,7 * -807487 - 01 - 1.4
1280,Brian Eno,St. Louis, Missouri,7 * -412987 - 01 - 1.4
1281,Brian Epstein,Cincinnati, Ohio,7 * -441987 - 01 - 1.4
1282,Brian Evans ,Long Beach, California,7 - 800 -- - 7- 00-294- 7- 
1283,Brian Fair ,Birmingham, Alabama,30- - 7- 30-943- 7- 
1284,Brian Gibson ,Miami, Florida,8- 7- - 7- - 951-556
1285,Brian Gottfried,Baton Rouge, Louisiana,223- 604-9
1286,Brian Griffin,St. Louis, Missouri,248- 203-319- 7- 
1287,Brian Helicopter ,Orlando, Florida,(6.61) -- - 7- 30-5525
1288,Brian Johnson,Houston, Texas,3- 7- - 7- - 92- 7- -313878
1289,Brian Jones ,Colorado Springs, Colorado,7294 -- 625-4- 7- 20 * 78
1290,Brian Lane ,Los Angeles, California,7 - 35- 7- - - 7- 82-4619
1291,Brian Littrell,Austin, Texas,  1-8- 450-9- 7- 0  1-
1292,Brian Locking ,St. Louis, Missouri,9  1-2- 2  1-- 7-  - 606.
1293,Brian Marshall,Chandler, Arizona,995- 3- 7- 8-99  1-  
1294,Brian May,Anaheim, California,6- 7- 0- - 7-   1-0-9485
1295,Brian Michael Bendis,Minneapolis, Minnesota,7 * -962687 - 01 - 1.4
1296,Brian Molko ,Denver, Colorado,454 -- 2- 7- 3-33*1378
1297,Brian Pillman,Corpus Christi, Texas,7352- 3- 7- 2-8208 * 78
1298,Brian Ray ,St. Louis, Missouri,7 - 351- 31 - 7-   09- 7- 0
1299,Brian Ritchie ,Fort Wayne, Indiana,35- 698-- 7- 50- 7- 
1300,Brian Robertson ,Norfolk, Virginia,489- 914-3- 7- 3
1301,Brian Rosenworcel,Baltimore, Maryland,681 -- 201-2*
1302,Brian Setzer ,Laredo, Texas,628- 268-5502
1303,Brian Stephens,Fremont, California,909- 458-4  1-22
1304,Brian Wandell,Riverside, California,7 * -533*487 - 01 - 1.4
1305,Brian Welch ,Baltimore, Maryland,79- 7- 4 -- 234-6031 * 78
1306,Brian Williams,Boston, Massachusetts,7 - 342- 33*5-9493
1307,Brian Wilson,Arlington, Texas,10 -- 59- 7- -5196
1308,Brian Wooten ,Irving, Texas,7 * -597187 - 01 - 1.4
1309,Brian Yale,Baltimore, Maryland,*401- 329-2- 7- 3- 
1310,Brian Yandrisovitz,Los Angeles, California,(- 7- 14)- 296-5462
1311,Bridget Jones ,Seattle, Washington,*40  1-- 454-0392
1312,Brie Larson,Irving, Texas,380- 908-045878
1313,Britney Spears,Reno, Nevada,7644- 434-8563 * 78
1314,Brodie Foster Hubbard ,Seattle, Washington,7 - 216 -- 689-5060
1315,Brody Dalle ,Detroit, Michigan,23 -- - 7- 80-- 7- 686
1316,Broncho Billy Anderson,Newark, New Jersey,21- 7-  -- 298-*403
1317,Bronislaw Geremek,Toledo, Ohio,868 -- - 7- 85-9
1318,Bronson Pinchot,Henderson, Nevada,868- 552-9345
1319,Brooke Burke,Garland, Texas,614 -- 869-9656
1320,Brooke Hogan,Louisville/Jefferson, Kentucky,214 -- 834-341878
1321,Brooke Valentine,Milwaukee, Wisconsin,7598- 962-5998 * 78
1322,Brown Mark ,Gilbert town, Arizona,7 - 410- 654-6194
1323,Bruce Cockburn ,Hialeah, Florida,7 * -582387 - 01 - 1.4
1324,Bruce Dickinson,Detroit, Michigan,655- 248-618
1325,Bruce Fleisher,North Las Vegas, Nevada,345- 823--0
1326,Bruce Foxton,Kansas , Missouri,521 -- 836-4*402
1327,Bruce Gary,Lubbock, Texas,618- 588-0845
1328,Bruce Geller,Glendale, Arizona,63- 7-  -- 62- 7- -- 7- 3- 7- 678
1329,Bruce Gordon ,Chula Vista, California,7412- 964-06- 7- - 7-  * 78
1330,Bruce Hall ,Minneapolis, Minnesota,7 - 9- 7- 6 --528-2016
1331,Bruce Jenner,Fresno, California,4- 7-  -- - 7- 59-52*40
1332,Bruce Johnston ,Hialeah, Florida,68 - 7-    892-052
1333,Bruce Kovner,Mesa, Arizona,981 -- - 7- 46-5
1334,Bruce Kulick,St. Petersburg, Florida,969 -- 815-9800
1335,Bruce Lee,Dallas, Texas,43  1-- 5- 7- 2-9948
1336,Bruce Marchianot ,San Bernardino, California,504 -- 903-242678
1337,Bruce Nielsen,Bakersfield, California,7929- 653-0513 * 78
1338,Bruce Palmer ,Plano, Texas,7 - 419- 816-51- 7- 3
1339,Bruce Paltrow,Fresno, California,02- - 7- 99-- 7- 642
1340,Bruce Perens,Anchorage municipality, Alaska,495 -- 648-115
1341,Bruce Ratner,Wichita, Kansas,9- 7- 1 -- 320-9
1342,Bruce Rutherford ,Milwaukee, Wisconsin,5*40 -- 6- 7- 4-0256
1343,Bruce Schneier,Henderson, Nevada,5  1-0- 542-258  1-
1344,Bruce Springsteen,Oklahoma , Oklahoma,645 -- 5- 7- 2-454- 7- 78
1345,Bruce Sundlun,Gilbert town, Arizona,7848- 633*-8903 * 78
1346,Bruce Thomas ,Albuquerque, New Mexico,7 - 432- 26- 7- -6123
1347,Bruce Vilanch,Washington, DC,52- 860-3086
1348,Bruce Wasserstein,Tucson, Arizona,809 -- 9- 7- 6-130
1349,Bruce Wayne,Nashville-Davidson, Tennessee,223- 648-390- 
1350,Bruce Willis,Madison, Wisconsin,244 -- 252-0989
1351,Bruno Bergonzi,Hialeah, Florida,838- 229-0868
1352,Bruno Bettelheim,Chicago, Illinois,-974(787)01 - 1
1353,Bruno Kreisky,San Bernardino, California,7455- - 7- 15-8445 * 78
1354,Bruno Ludke,Lubbock, Texas,7 - 924- 356-1232
